mass,bin,nevt_ASYM,nevtup_ASYM,nevtdown_ASYM,nevtupup_ASYM,nevtdowndown_ASYM,nevtobs_ASYM,nevtobs_TOY,nevtobserr_TOY
0.22399999999999998,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.9408625,0.035169
0.22399999999999998,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.96592,0.06584390400000001
0.22399999999999998,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8819968,0.07319980799999999
0.22399999999999998,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,3.0216,0.07268121599999999
0.22399999999999998,Lxy7.0_11.0_pt0_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.9279040000000003,0.042219456
0.22399999999999998,Lxy7.0_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.982048,0.044898624000000005
0.22399999999999998,Lxy7.0_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.648064,0.053221248
0.226,Lxy3.1_11.0_pt0_Inf_012isomu,4.98,7.858440000000001,3.2355060000000004,11.984867999999999,2.256438,3.210108,3.60750204,0.09936096
0.226,Lxy0.2_11.0_pt0_Inf_2isomu,3.4923,5.9838,2.0241,9.6051,1.2003,2.3751,3.57621,0.07602060000000001
0.226,Lxy0.2_11.0_pt0_Inf_012isomu,4.5702,7.39395,2.9232,11.4588,1.99935,3.07845,4.0211685,0.10210635
0.226,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.9768625,0.059938875
0.226,Lxy3.1_11.0_pt0_Inf_2isomu,3.49,5.9106640000000015,2.0755030000000003,9.427886,1.30875,2.4189190000000003,3.2533919600000005,0.032564841000000004
0.226,Lxy0.2_11.0_pt25_Inf_2isomu,1.9195,3.7343,1.0121,5.7934,0.5584,1.9195,3.4082013799999995,3.4082013799999995
0.226,Lxy0.2_11.0_pt25_Inf_012isomu,1.93695,3.71685,1.047,5.81085,0.5758500000000001,1.93695,5.112302069999998,5.112302069999998
0.226,Lxy1.0_11.0_pt0_Inf_2isomu,3.5,5.98325,2.0286,9.6054,1.2033,2.37405,3.321248,0.03200715
0.226,Lxy1.0_11.0_pt0_Inf_012isomu,4.5702,7.39395,2.9232,11.4588,1.99935,3.07845,3.7747845,0.23592420000000003
0.226,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.85042,0.032885000000000005
0.226,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.9598299999999997,0.05498865
0.226,Lxy2.4_11.0_pt0_Inf_2isomu,3.5,5.98325,2.0286,9.6054,1.2033,2.37405,3.3178775000000003,0.0580475
0.226,Lxy2.4_11.0_pt0_Inf_012isomu,4.5702,7.39395,2.9232,11.4588,1.99935,3.07845,4.211334,0.07754264999999999
