,mass,eps,ctau,BRbrUL,BRbrULobs,BRbrULup,BRbrULupup,BRbrULdown,BRbrULdowndown
641,1.17,5.177030225360573e-07,80.0,0.0020847430766684,0.0025636321793834,0.0037133066701932,0.0063186677755395,0.0012583967945085,0.0008550171768689
642,1.17,4.630476602190919e-07,100.0,0.0026141960058454,0.0032203863840125,0.0046774386072353,0.0079236730622794,0.001590187493194,0.0010721638230665
643,1.17,3.2742414055348424e-07,200.0,0.0045325338923258,0.005720734084496,0.0082901006619254,0.0137390688539042,0.002700285763094,0.0018055679160394
644,1.17,2.0708120901442292e-07,500.0,0.0112558537147648,0.0142100324797106,0.020588092072648,0.0341213827641546,0.0067071600515846,0.004485345687572
645,1.17,1.6371207027674212e-07,800.0,0.0179419380703997,0.0226978110023554,0.032957754944347,0.0543863454446125,0.0107365189554222,0.0072177656179161
646,1.17,1.4642852715040727e-07,1000.0,0.0224173789509251,0.0283564726036268,0.0411787444065507,0.0679524871172758,0.013414638546466,0.0090181666217388
647,1.17,1.0354060450721146e-07,2000.0,0.1362106509147795,0.2609212756948534,0.2741128217379268,0.4131003363930644,0.0751658334708158,0.0484190357388427
648,1.17,6.548482811069685e-08,5000.0,0.3403940782095796,0.6511230253213912,0.6850301407496688,1.0323551899670642,0.1878408179981301,0.1210044004787771
649,1.17,5.177030225360573e-08,8000.0,0.5446231697284547,1.040081199419107,1.096034064014367,1.6517331491524574,0.3005402636825738,0.1935877388988468
650,1.17,4.630476602190919e-08,10000.0,0.679312194130813,1.2987305047033135,1.3670907633968987,2.06021802235993,0.3748659206854079,0.2414633070674662
651,1.18,1.4642852715040728e-05,0.1,0.0002947831327958,0.0002735445606931,0.0005674204146807,0.0008938758258743,0.0001531239188683,8.635644656890089e-05
652,1.18,1.0354060450721146e-05,0.2,0.0001685215653829,0.0001567039834914,0.0003230328891017,0.000510975155328,8.799115191504945e-05,5.003250935752164e-05
653,1.18,6.548482811069684e-06,0.5,0.0001124259121526,0.0001146028338595,0.0002047515805447,0.0003408333752458,6.138919213498573e-05,3.558057589856738e-05
654,1.18,5.177030225360573e-06,0.8,9.854860851359258e-05,0.0001104969370037,0.0001747568549341,0.0002928344541313,5.660395114573389e-05,3.4640112009362655e-05
655,1.18,4.630476602190919e-06,1.0,9.372026008593238e-05,0.000108948150018,0.0001647044345092,0.0002784113001311,5.456660559022974e-05,3.40512538760736e-05
